title,company,salary,date,location,experience,description,skills,URL
Data Science Engineer - Machine Learning/r,Vidooly - Startup,<em></em>  Not disclosed ,15 days ago,Hyderabad,<em></em>3-7 yrs,"BS/ MS in computer <font class=""hlite"">science</font>, software engineering, statistics, calculus and algebra or related field ...","Machine Learning, Deep Learning, Natural Language Processing, R...",https://www.naukri.com/job-listings-Data-Science-Engineer-Machine-Learning-r-Vidooly-Startup-Hyderabad-3-to-7-years-170918900714?src=jobsearchDesk&sid=15386274478820&xp=34&px=1
Data Science/data Scientist - Machine Learning,Matrimony.com Limited,<em></em>  Not disclosed ,15 days ago,Chennai(Mandaveli),<em></em>7-12 yrs,"Contribute to the improvement of  <font class=""hlite"">data</font> <font class=""hlite"">science</font> infrastructure, incorporating the ground experience and ...","Deep Learning, <font class=""hlite"">Data</font> <font class=""hlite"">Science</font>, Machine Learning, R, Python, SQL, <font class=""hlite"">Data</font> Mining,...",https://www.naukri.com/job-listings-Data-Science-data-Scientist-Machine-Learning-Matrimony-com-Limited-Chennai-Mandaveli-7-to-12-years-170918006398?src=jobsearchDesk&sid=15386274478820&xp=35&px=1
Cyber Security Data Science Engineer,JoulestoWatts Business Solutions Pvt Ltd,<em></em>  Not disclosed ,20 days ago,Bengaluru,<em></em>2-7 yrs,"1) Must have experience of working with cyber security products, in terms of development, cyber security ...","Spark, Java, SCALA, Hadoop, <font class=""hlite"">Data</font> <font class=""hlite"">Science</font>, Python, Machine Learning, R...",https://www.naukri.com/job-listings-Cyber-Security-Data-Science-Engineer-JoulestoWatts-Business-Solutions-Pvt-Ltd-Bengaluru-2-to-7-years-140918900132?src=jobsearchDesk&sid=15386274478820&xp=36&px=1
Data Science Trainer,Pathfinder Enterprise Solutions Pvt Ltd,<em></em>  Not disclosed ,22 days ago,Chennai,<em></em>10-15 yrs,"About 10+ years experience in <font class=""hlite"">Data</font> <font class=""hlite"">Science</font>/Machine Learning/Analytics;Should have proven skills in ...","Deep Learning, NLP, Linear Regression, <font class=""hlite"">Data</font> <font class=""hlite"">Science</font>, Neural Networks, R...",https://www.naukri.com/job-listings-Data-Science-Trainer-Pathfinder-Enterprise-Solutions-Pvt-Ltd-Chennai-10-to-15-years-120918003158?src=jobsearchDesk&sid=15386274478820&xp=37&px=1
"Big Data, Data Science and AI Engineer",Startup - icliniq.com,<em></em>  Not disclosed ,22 days ago,Coimbatore,<em></em>2-5 yrs,"Proven experience in working with Big <font class=""hlite"">Data</font>, AI and Machine Learning ...","<font class=""hlite"">Data</font> <font class=""hlite"">Science</font>, Machine Learning, Big <font class=""hlite"">Data</font>, Software Development",https://www.naukri.com/job-listings-Big-Data-Data-Science-and-AI-Engineer-Startup-icliniq-com-Coimbatore-2-to-5-years-110918001672?src=jobsearchDesk&sid=15386274478820&xp=38&px=1
"Data Science  - 3+ Years of exp , Chennai",Tekclan Software Solutions Private limited,<em></em>  Not disclosed ,22 days ago,Chennai(Dhandeeswaram Nagar),<em></em>2-7 yrs,"3 + years experience with analytical software tools such as Python, R, SAS, Matlab;Qualified candidates ...","Deep Learning, Machine Learning, NLP, Python, <font class=""hlite"">Data</font> <font class=""hlite"">Science</font>, R, Statistics...",https://www.naukri.com/job-listings-Data-Science-3-Years-of-exp-Chennai-Tekclan-Software-Solutions-Private-limited-Chennai-Dhandeeswaram-Nagar-2-to-7-years-100918006414?src=jobsearchDesk&sid=15386274478820&xp=39&px=1
Data Science/ Python Developer,Polestar Solutions And Services India Pvt. Ltd.,"<em></em>    4,00,000 - 7,50,000 P.A.  ",26 days ago,Noida(Sector-59 Noida),<em></em>2-7 yrs,Should have 2+ years creating predictive models using advance machine learning;Should have an expert ...,"Python, Django, <font class=""hlite"">Data</font> <font class=""hlite"">Science</font>, Machine Learning, R, SQL, Spark...",https://www.naukri.com/job-listings-Data-Science-Python-Developer-Polestar-Solutions-And-Services-India-Pvt-Ltd-Noida-Sector-59-Noida-2-to-7-years-080918004151?src=jobsearchDesk&sid=15386274478820&xp=40&px=1
Data Science (jupyter/azure Ml/matlab),Accenture,<em></em>  Not disclosed ,27 days ago,Bengaluru,<em></em>1-5 yrs,,"MATLAB, <font class=""hlite"">Data</font> mining, Machine learning, Outsourcing, Artificial Intelligence...",https://www.naukri.com/job-listings-Data-Science-jupyter-azure-Ml-matlab-Accenture-Bengaluru-1-to-5-years-060918901943?src=jobsearchDesk&sid=15386274478820&xp=41&px=1
Data Science (jupyter/azure Ml/matlab),Accenture,<em></em>  Not disclosed ,27 days ago,Bengaluru,<em></em>1-5 yrs,,"Python, MATLAB, <font class=""hlite"">Data</font> mining, Machine learning, Outsourcing...",https://www.naukri.com/job-listings-Data-Science-jupyter-azure-Ml-matlab-Accenture-Bengaluru-1-to-5-years-060918901929?src=jobsearchDesk&sid=15386274478820&xp=42&px=1
Data Science (jupyter/azure Ml/matlab),Accenture,<em></em>  Not disclosed ,28 days ago,Bengaluru,<em></em>2-5 yrs,,"Python, MATLAB, <font class=""hlite"">Data</font> mining, Machine learning, Outsourcing, Operations...",https://www.naukri.com/job-listings-Data-Science-jupyter-azure-Ml-matlab-Accenture-Bengaluru-2-to-5-years-060918900776?src=jobsearchDesk&sid=15386274478820&xp=43&px=1
Data Science (jupyter/azure Ml/matlab),Accenture,<em></em>  Not disclosed ,30 days ago,Bengaluru,<em></em>4-7 yrs,Accenture Technology powers our clients businesses with innovative technologies established and emerging ...,"SAP, Python, MATLAB, Enterprise applications, <font class=""hlite"">Data</font> analysis...",https://www.naukri.com/job-listings-Data-Science-jupyter-azure-Ml-matlab-Accenture-Bengaluru-4-to-7-years-030918901783?src=jobsearchDesk&sid=15386274478820&xp=44&px=1
Head - Data Science/enterprise AI - PhD,Rinalytics Advisors,<em></em>  Not disclosed ,34 days ago,"Bengaluru, Hyderabad, Pune",<em></em>12-18 yrs,"- Pre-sales, solutioning, delivery experience;- Should have PnL Responsibility, People Management, ...","solutioning, <font class=""hlite"">data</font> <font class=""hlite"">science</font>, people management, competency development...",https://www.naukri.com/job-listings-Head-Data-Science-enterprise-AI-PhD-Rinalytics-Advisors-Bengaluru-Hyderabad-Pune-12-to-18-years-290818901552?src=jobsearchDesk&sid=15386274478820&xp=45&px=1
Data Science Engineer - Machine Learning,Kalagato - Startup,<em></em>  Not disclosed ,34 days ago,Delhi NCR,<em></em>1-5 yrs,"1-5 years of work experience, prior experience in design high performance algorithms a must;Finance ...","Machine Learning, Python, NLP, Neural Networks, <font class=""hlite"">Data</font> <font class=""hlite"">Science</font>, R, Algorithms...",https://www.naukri.com/job-listings-Data-Science-Engineer-Machine-Learning-Kalagato-Startup-Delhi-NCR-1-to-5-years-280818900520?src=jobsearchDesk&sid=15386274478820&xp=46&px=1
Data Science for Banking,Accenture,<em></em>  Not disclosed ,35 days ago,Bengaluru,<em></em>4-8 yrs,Accenture Technology powers our clients businesses with innovative technologies established and emerging ...,"Python, Machine learning, Outsourcing, Artificial Intelligence, Operations,...",https://www.naukri.com/job-listings-Data-Science-for-Banking-Accenture-Bengaluru-4-to-8-years-270818900875?src=jobsearchDesk&sid=15386274478820&xp=47&px=1
Director of Data Science,Deal4Loans - Startup,<em></em>  Not disclosed ,42 days ago,Noida,<em></em>5-8 yrs,You should be able to develop high-level relationships with partners - you will develop partnerships and ...,"<font class=""hlite"">Data</font> <font class=""hlite"">Science</font>, SQL, Advanced Analytics, Machine Learning, R, Python...",https://www.naukri.com/job-listings-Director-of-Data-Science-Deal4Loans-Startup-Noida-5-to-8-years-230818900434?src=jobsearchDesk&sid=15386274478820&xp=48&px=1
Manager / Sr. Manager Data Science,Conversant Software Development And Campaign Management Services LLP,<em></em>  Not disclosed ,42 days ago,Bengaluru,<em></em>9-12 yrs,Experience in building deep learning models for Text Analysis using CNNs/RNNs;Experience in building ...,"<font class=""hlite"">Data</font> <font class=""hlite"">Science</font>, Image Analysis, NLP, Wake, Mallet, OpenCV, Scikit...",https://www.naukri.com/job-listings-Manager-Sr-Manager-Data-Science-Conversant-Software-Development-And-Campaign-Management-Services-LLP-Bengaluru-9-to-12-years-230818900165?src=jobsearchDesk&sid=15386274478820&xp=49&px=1
Senior Consultant - Data Science,Allstate Solutions Private Limited,<em></em>  Not disclosed ,43 days ago,Bengaluru,<em></em>4-6 yrs,"Proficiency in open <font class=""hlite"">data</font> <font class=""hlite"">science</font> tool kits, like R, Python is a must;Individuals in this field should be ...","Predictive Analytics, <font class=""hlite"">Data</font> <font class=""hlite"">Science</font>, Predictive Modeling, <font class=""hlite"">Data</font> Analytics...",https://www.naukri.com/job-listings-Senior-Consultant-Data-Science-Allstate-Solutions-Private-Limited-Bengaluru-4-to-6-years-220818901533?src=jobsearchDesk&sid=15386274478820&xp=50&px=1
