title,company,salary,date,location,experiance,description,url
Huge Hiring for Data Scientist @ Banaglore in Leading MNC ,2Coms Consulting Pvt Ltd.,"<em></em>    6,00,000 - 12,00,000 P.A.  ",2 days ago,Bengaluru,<em></em>3-8 yrs,"Solid knowledge in statistics and mathematics, good understanding of machine learning and <font class=""hlite"">data</font> mining ...",https://www.naukri.com/job-listings-Huge-Hiring-for-Data-Scientist-Banaglore-in-Leading-MNC-2Coms-Consulting-Pvt-Ltd-Bengaluru-3-to-8-years-011018002636?src=jobsearchDesk&sid=15385870313166&xp=32&px=1
Hiring for Data Scientist @ Banaglore MNC,2Coms Consulting Pvt Ltd.,"<em></em>    6,00,000 - 12,00,000 P.A.  ",2 days ago,Bengaluru,<em></em>3-8 yrs,"Solid knowledge in statistics and mathematics, good understanding of machine learning and <font class=""hlite"">data</font> mining ...",https://www.naukri.com/job-listings-Hiring-for-Data-Scientist-Banaglore-MNC-2Coms-Consulting-Pvt-Ltd-Bengaluru-3-to-8-years-011018001120?src=jobsearchDesk&sid=15385870313166&xp=33&px=1
Data Scientist/senior Data Scientist,Aura Placement and Services,"<em></em>    6,00,000 - 15,00,000 P.A.  ",2 days ago,Ahmedabad(Shivranjani),<em></em>3-6 yrs,,https://www.naukri.com/job-listings-Data-Scientist-senior-Data-Scientist-Aura-Placement-and-Services-Ahmedabad-Shivranjani-3-to-6-years-011018005133?src=jobsearchDesk&sid=15385870313166&xp=34&px=1
Customer & Channel-data Scientist - 9,Accenture,<em></em>  Not disclosed ,5 days ago,Gurgaon,<em></em>4-7 yrs,o Experience creating and using advanced machine learning algorithms and statistics:  regression ...,https://www.naukri.com/job-listings-Customer-Channel-data-Scientist-9-Accenture-Gurgaon-4-to-7-years-280918900526?src=jobsearchDesk&sid=15385870313166&xp=35&px=1
Data Scientist - Predictive Modeling/python/r,Tanishi Consultants Pvt. Ltd,<em></em>  Not disclosed ,5 days ago,Bengaluru,<em></em>5-7 yrs,- Identify and report any quality or compliance concerns and take immediate corrective action as ...,https://www.naukri.com/job-listings-Data-Scientist-Predictive-Modeling-python-r-Tanishi-Consultants-Pvt-Ltd-Bengaluru-5-to-7-years-270918900312?src=jobsearchDesk&sid=15385870313166&xp=36&px=1
Data Scientist | Delhi - NCR,Karvy Analytics,<em></em>  Not disclosed ,5 days ago,Delhi NCR,<em></em>2-4 yrs,"The <font class=""hlite"">Data</font> <font class=""hlite"">Scientist</font> with 2+ years of experience will be responsible for designing and implementing ...",https://www.naukri.com/job-listings-Data-Scientist-Delhi-NCR-Karvy-Analytics-Delhi-NCR-2-to-4-years-270918009032?src=jobsearchDesk&sid=15385870313166&xp=37&px=1
Data Scientist - ETL/ Analytics,Premium,<em></em>  Not disclosed ,2 days ago,Mumbai,<em></em>3-6 yrs,- You have good understanding of statistics and machine learning concepts;- You have hands on experience ...,https://www.naukri.com/job-listings-Data-Scientist-ETL-Analytics-Mumbai-3-to-6-years-270918006963?src=jobsearchDesk&sid=15385870313166&xp=38&px=1
Senior Data Scientist,Medline Industries India Private Limited,<em></em>  Not disclosed ,6 days ago,Pune,<em></em>5-10 yrs,"At least one research paper presented in a reputable conference, or should have won a Kaggle contest or ...",https://www.naukri.com/job-listings-Senior-Data-Scientist-Medline-Industries-India-Private-Limited-Pune-5-to-10-years-270918002468?src=jobsearchDesk&sid=15385870313166&xp=39&px=1
Senior/principal Data Scientist,Rinalytics Advisors,<em></em>  Not disclosed ,6 days ago,Bengaluru,<em></em>5-10 yrs,"<font class=""hlite"">Data</font> <font class=""hlite"">Scientists</font> with 5 plus years of experience:;Masters or PhD with experience in the area of <font class=""hlite"">data</font> ...",https://www.naukri.com/job-listings-Senior-principal-Data-Scientist-Rinalytics-Advisors-Bengaluru-5-to-10-years-260918901008?src=jobsearchDesk&sid=15385870313166&xp=40&px=1
Data Scientist - Machine Learning Algorithms/java/big Data,New Era India,<em></em>  Not disclosed ,5 days ago,Bengaluru,<em></em>17-23 yrs,- Experience in natural language processing techniques and text analytics is a strong plus;- 20 years of ...,https://www.naukri.com/job-listings-Data-Scientist-Machine-Learning-Algorithms-java-big-Data-New-Era-India-Bengaluru-17-to-23-years-260918900047?src=jobsearchDesk&sid=15385870313166&xp=41&px=1
Data Scientist - R/python,simply people,<em></em>  Not disclosed ,7 days ago,Delhi,<em></em>3-7 yrs,"- B.tech, or related field or 6 additional years of related experience beyond the minimum required may ...",https://www.naukri.com/job-listings-Data-Scientist-R-python-simply-people-Delhi-3-to-7-years-260918005154?src=jobsearchDesk&sid=15385870313166&xp=42&px=1
Data Scientist - Python/machine Learning,Staffio HR,<em></em>  Not disclosed ,5 days ago,"Trivandrum, Kerala, Thiruvananthapuram",<em></em>4-9 yrs,"- Experience with common <font class=""hlite"">data</font> science toolkits, such as R, Weka, NumPy, MatLab, etc;- Experience with ...",https://www.naukri.com/job-listings-Data-Scientist-Python-machine-Learning-Staffio-HR-Trivandrum-Kerala-Thiruvananthapuram-4-to-9-years-260918003124?src=jobsearchDesk&sid=15385870313166&xp=43&px=1
Data Scientist - Machine Learning/nlp,Staffio HR,<em></em>  Not disclosed ,5 days ago,Bengaluru,<em></em>7-10 yrs,"- Candidate should have working experience in analytics( predictive modelling, logistic regression etc ...",https://www.naukri.com/job-listings-Data-Scientist-Machine-Learning-nlp-Staffio-HR-Bengaluru-7-to-10-years-260918003112?src=jobsearchDesk&sid=15385870313166&xp=44&px=1
Data Scientist - R/python/machine Learning,Staffio HR,<em></em>  Not disclosed ,5 days ago,Bengaluru,<em></em>3-8 yrs,"- 3+ years of experience in applied artificial intelligence technologies including machine learning, ...",https://www.naukri.com/job-listings-Data-Scientist-R-python-machine-Learning-Staffio-HR-Bengaluru-3-to-8-years-260918002254?src=jobsearchDesk&sid=15385870313166&xp=45&px=1
Data Scientist - Machine Learning/ Artificial Intelligence,Premium,<em></em>  Not disclosed ,6 days ago,Mumbai,<em></em>4-8 yrs,"- Have 4+ years of work experience with large volumes of <font class=""hlite"">data</font> preferably in e-commerce;MUST have : ...",https://www.naukri.com/job-listings-Data-Scientist-Machine-Learning-Artificial-Intelligence-Mumbai-4-to-8-years-130418900284?src=jobsearchDesk&sid=15385870313166&xp=46&px=1
"Data Scientist - NLP, Machine Learning",HyrEzy Talent Solutions,<em></em>  Not disclosed ,2 days ago,Noida,<em></em>2-5 yrs,"Understanding of IBM Watson is added advantage, Experience with machine learning algorithms and <font class=""hlite"">data</font> ...",https://www.naukri.com/job-listings-Data-Scientist-NLP-Machine-Learning-HyrEzy-Talent-Solutions-Noida-2-to-5-years-270918008312?src=jobsearchDesk&sid=15385870313166&xp=47&px=1
Data Scientist - Python/machine Learning,Staffio HR,<em></em>  Not disclosed ,5 days ago,Bengaluru,<em></em>5-10 yrs,"Experience with common <font class=""hlite"">data</font> science toolkits, such as R, Weka, etc;Good applied statistics skills, such ...",https://www.naukri.com/job-listings-Data-Scientist-Python-machine-Learning-Staffio-HR-Bengaluru-5-to-10-years-260918001563?src=jobsearchDesk&sid=15385870313166&xp=48&px=1
Data Scientist - Machine Learning/artificial Intelligence,Premium,<em></em>  Not disclosed ,6 days ago,Mumbai,<em></em>4-8 yrs,"- Have 4+ years of work experience with large volumes of <font class=""hlite"">data</font> preferably in e-commerce;MUST have : ...",https://www.naukri.com/job-listings-Data-Scientist-Machine-Learning-artificial-Intelligence-Mumbai-4-to-8-years-050218900108?src=jobsearchDesk&sid=15385870313166&xp=49&px=1
Data Scientist - Python/r,Premium,<em></em>  Not disclosed ,6 days ago,Mumbai,<em></em>2-5 yrs,"- 3+ years of experience in <font class=""hlite"">Data</font> Science and Analytics;- Past experience with <font class=""hlite"">data</font> visualisation and ...",https://www.naukri.com/job-listings-Data-Scientist-Python-r-Mumbai-2-to-5-years-050218900041?src=jobsearchDesk&sid=15385870313166&xp=50&px=1
